,area_type,location,total_sqft,bath,balcony,price,BHK
2541,Super built-up  Area,Hebbal,5611.5,4.0,0.0,477.0,4
2542,Super built-up  Area,Hebbal,1900.0,3.0,2.0,119.0,3
2543,Super built-up  Area,Hebbal,1349.0,2.0,1.0,98.2,2
2544,Super built-up  Area,Hebbal,2483.0,5.0,2.0,212.0,4
2545,Super built-up  Area,Hebbal,1760.0,2.0,2.0,130.0,3
2546,Super built-up  Area,Hebbal,3450.0,5.0,2.0,260.0,3
2547,Super built-up  Area,Hebbal,1920.0,3.0,2.0,134.0,3
2548,Super built-up  Area,Hebbal,1337.0,2.0,1.0,82.0,2
2549,Super built-up  Area,Hebbal,1349.0,2.0,1.0,98.0,2
2550,Super built-up  Area,Hebbal,1255.0,2.0,1.0,77.68,3
2551,Super built-up  Area,Hebbal,1355.0,3.0,1.0,83.87,3
2552,Super built-up  Area,Hebbal,1790.0,3.0,2.0,127.0,3
2553,Super built-up  Area,Hebbal,2790.0,5.0,3.0,198.0,4
2554,Super built-up  Area,Hebbal,2483.0,5.0,2.0,215.0,4
2555,Super built-up  Area,Hebbal,812.0,2.0,2.0,55.0,2
2556,Super built-up  Area,Hebbal,2790.0,4.0,3.0,198.0,4
2557,Super built-up  Area,Hebbal,3067.0,4.0,2.0,230.0,4
2558,Super built-up  Area,Hebbal,3067.0,4.0,3.0,230.0,4
2559,Super built-up  Area,Hebbal,1255.0,2.0,1.0,77.68,3
2560,Super built-up  Area,Hebbal,1420.0,2.0,1.0,123.0,2
2561,Super built-up  Area,Hebbal,1420.0,2.0,1.0,99.39,2
2562,Super built-up  Area,Hebbal,4235.0,4.0,2.0,365.0,4
2563,Super built-up  Area,Hebbal,1700.0,3.0,2.0,124.0,3
2564,Super built-up  Area,Hebbal,1420.0,2.0,1.0,99.39,2
2565,Super built-up  Area,Hebbal,1355.0,3.0,1.0,83.87,3
2566,Super built-up  Area,Hebbal,1440.0,2.0,1.0,115.0,2
2567,Super built-up  Area,Hebbal,1355.0,3.0,1.0,83.87,3
2568,Super built-up  Area,Hebbal,2400.0,4.0,1.0,180.0,3
2569,Super built-up  Area,Hebbal,1255.0,2.0,1.0,77.68,3
2570,Super built-up  Area,Hebbal,1320.0,2.0,1.0,92.0,2
2571,Super built-up  Area,Hebbal,1645.0,3.0,2.0,135.0,3
2572,Super built-up  Area,Hebbal,2080.0,3.0,3.0,175.0,3
2573,Super built-up  Area,Hebbal,1355.0,3.0,2.0,83.87,3
2574,Super built-up  Area,Hebbal,2483.0,5.0,2.0,230.0,4
2575,Super built-up  Area,Hebbal,2600.0,3.0,2.0,195.0,3
2576,Super built-up  Area,Hebbal,1645.0,3.0,2.0,117.0,3
2577,Super built-up  Area,Hebbal,1251.0,2.0,1.0,88.73,2
2578,Super built-up  Area,Hebbal,1645.0,3.0,2.0,121.0,3
2579,Super built-up  Area,Hebbal,1760.0,3.0,2.0,123.0,3
2580,Super built-up  Area,Hebbal,2790.0,4.0,3.0,198.0,4
2581,Super built-up  Area,Hebbal,1645.0,3.0,2.0,120.0,3
2582,Super built-up  Area,Hebbal,1255.0,2.0,1.0,90.0,3
2583,Super built-up  Area,Hebbal,1645.0,3.0,2.0,117.0,3
2584,Super built-up  Area,Hebbal,1255.0,3.0,2.0,77.68,3
2585,Super built-up  Area,Hebbal,1586.0,3.0,2.0,90.0,3
2586,Super built-up  Area,Hebbal,1636.0,3.0,1.0,119.0,3
2587,Super built-up  Area,Hebbal,2661.0,2.0,2.0,226.5,3
2588,Super built-up  Area,Hebbal,1255.0,2.0,1.0,95.0,3
2589,Super built-up  Area,Hebbal,2790.0,4.0,3.0,198.0,4
2590,Super built-up  Area,Hebbal,1255.0,2.0,1.0,95.0,3
2591,Super built-up  Area,Hebbal,1088.0,2.0,2.0,61.45,2
2592,Super built-up  Area,Hebbal,1349.0,2.0,1.0,97.8,2
2593,Super built-up  Area,Hebbal,1255.0,3.0,2.0,77.68,3
2594,Super built-up  Area,Hebbal,1344.0,2.0,1.0,108.0,2
2595,Super built-up  Area,Hebbal,1255.0,2.0,1.0,90.0,3
2596,Super built-up  Area,Hebbal,1255.0,3.0,2.0,77.68,3
2597,Super built-up  Area,Hebbal,2790.0,5.0,3.0,204.0,4
2598,Super built-up  Area,Hebbal,1088.0,2.0,2.0,62.0,2
2599,Super built-up  Area,Hebbal,1987.0,4.0,2.0,165.0,3
2600,Super built-up  Area,Hebbal,2790.0,5.0,3.0,198.0,4
2601,Super built-up  Area,Hebbal,1645.0,3.0,2.0,117.0,3
2602,Super built-up  Area,Hebbal,1390.0,2.0,2.0,95.0,2
2603,Super built-up  Area,Hebbal,1333.0,2.0,1.0,100.0,2
2604,Super built-up  Area,Hebbal,1355.0,3.0,2.0,83.87,3
2605,Super built-up  Area,Hebbal,2650.0,4.0,3.0,199.0,3
2606,Super built-up  Area,Hebbal,1800.0,3.0,2.0,140.0,3
2607,Super built-up  Area,Hebbal,2470.0,4.0,2.0,203.0,4
2608,Super built-up  Area,Hebbal,1255.0,2.0,1.0,95.0,3
2609,Super built-up  Area,Hebbal,1645.0,3.0,2.0,117.0,3
2610,Super built-up  Area,Hebbal,2600.0,3.0,2.0,199.0,3
2611,Super built-up  Area,Hebbal,1345.0,2.0,1.0,97.0,2
2612,Super built-up  Area,Hebbal,985.0,2.0,2.0,62.0,2
2613,Super built-up  Area,Hebbal,1320.0,2.0,1.0,91.0,2
2614,Super built-up  Area,Hebbal,2388.0,3.0,1.0,195.0,3
2615,Super built-up  Area,Hebbal,2600.0,3.0,2.0,195.0,3
2616,Super built-up  Area,Hebbal,2630.0,5.0,0.0,188.0,4
2617,Super built-up  Area,Hebbal,2790.0,5.0,3.0,198.0,4
2618,Super built-up  Area,Hebbal,1645.0,3.0,2.0,113.0,3
2619,Super built-up  Area,Hebbal,1355.0,3.0,2.0,83.87,3
2620,Super built-up  Area,Hebbal,1420.0,2.0,1.0,99.39,2
2621,Super built-up  Area,Hebbal,3520.0,5.0,2.0,320.0,3
2622,Super built-up  Area,Hebbal,1162.0,2.0,1.0,69.0,2
2623,Super built-up  Area,Hebbal,4235.0,5.0,3.0,364.0,4
2624,Super built-up  Area,Hebbal,1299.0,2.0,1.0,97.0,2
2625,Super built-up  Area,Hebbal,1255.0,3.0,2.0,77.68,3
2626,Super built-up  Area,Hebbal,2470.0,5.0,2.0,192.0,4
2627,Super built-up  Area,Hebbal,1645.0,3.0,2.0,117.0,3
2628,Super built-up  Area,Hebbal,1920.0,3.0,2.0,134.0,3
2629,Super built-up  Area,Hebbal,3520.0,5.0,2.0,240.0,3
2630,Super built-up  Area,Hebbal,1920.0,3.0,2.0,150.0,3
2631,Super built-up  Area,Hebbal,2375.0,4.0,2.0,189.0,4
2632,Super built-up  Area,Hebbal,1420.0,2.0,1.0,99.26,2
2633,Super built-up  Area,Hebbal,1252.0,2.0,1.0,92.0,2
2634,Super built-up  Area,Hebbal,2790.0,4.0,3.0,198.0,4
2635,Super built-up  Area,Hebbal,1294.0,2.0,1.0,115.0,2
2636,Super built-up  Area,Hebbal,4225.0,6.0,0.0,359.0,4
2637,Super built-up  Area,Hebbal,1740.0,2.0,1.0,137.0,3
2638,Super built-up  Area,Hebbal,1430.0,3.0,1.0,85.0,3
2639,Super built-up  Area,Hebbal,1349.0,2.0,1.0,98.0,2
2640,Super built-up  Area,Hebbal,4000.0,6.0,1.0,370.0,4
2641,Super built-up  Area,Hebbal,1349.0,2.0,1.0,96.8,2
2642,Built-up  Area,Hebbal Kempapura,1300.0,2.0,2.0,102.0,2
2643,Built-up  Area,Hebbal Kempapura,3408.0,3.0,3.0,260.0,3
2644,Built-up  Area,Hebbal Kempapura,2800.0,5.0,1.0,220.0,5
2645,Built-up  Area,Hebbal Kempapura,1785.0,3.0,0.0,165.0,3
2646,Plot  Area,Hebbal Kempapura,2280.0,5.0,2.0,200.0,5
2647,Plot  Area,Hebbal Kempapura,1200.0,2.0,1.0,125.0,2
2648,Plot  Area,Hebbal Kempapura,1200.0,3.0,2.0,125.0,3
2649,Plot  Area,Hebbal Kempapura,2400.0,5.0,2.0,200.0,5
2650,Plot  Area,Hebbal Kempapura,1200.0,3.0,2.0,148.0,4
2651,Plot  Area,Hebbal Kempapura,2485.0,4.0,2.0,198.0,4
2652,Super built-up  Area,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3
2653,Super built-up  Area,Hebbal Kempapura,1800.0,3.0,2.0,175.0,3
2654,Super built-up  Area,Hebbal Kempapura,2900.0,4.0,2.0,300.0,3
2655,Super built-up  Area,Hebbal Kempapura,3522.0,3.0,2.0,380.0,3
2656,Super built-up  Area,Hebbal Kempapura,2900.0,4.0,2.0,240.0,3
2657,Super built-up  Area,Hebbal Kempapura,3900.0,5.0,2.0,360.0,4
2658,Super built-up  Area,Hebbal Kempapura,1466.0,2.0,3.0,140.0,3
2659,Super built-up  Area,Hebbal Kempapura,3900.0,5.0,2.0,310.0,4
2660,Super built-up  Area,Hebbal Kempapura,1485.0,3.0,3.0,132.0,2
2661,Super built-up  Area,Hebbal Kempapura,1400.0,2.0,2.0,108.0,2
2662,Super built-up  Area,Hebbal Kempapura,1800.0,3.0,3.0,150.0,3
2663,Super built-up  Area,Hebbal Kempapura,3729.0,4.0,2.0,384.0,4
2664,Super built-up  Area,Hebbal Kempapura,1600.0,3.0,3.0,170.0,3
2665,Super built-up  Area,Hebbal Kempapura,1730.0,3.0,2.0,175.0,3
2666,Built-up  Area,Hegde Nagar,3000.0,7.0,2.0,210.0,6
2667,Built-up  Area,Hegde Nagar,2162.0,3.0,1.0,200.0,3
2668,Built-up  Area,Hegde Nagar,1500.0,3.0,2.0,135.0,3
2669,Plot  Area,Hegde Nagar,1200.0,4.0,1.0,83.0,4
2670,Plot  Area,Hegde Nagar,1200.0,2.0,0.0,75.0,2
2671,Plot  Area,Hegde Nagar,3734.0,5.0,1.0,430.0,4
2672,Plot  Area,Hegde Nagar,1000.0,2.0,0.0,66.0,2
2673,Super built-up  Area,Hegde Nagar,1569.0,3.0,1.0,101.0,3
2674,Super built-up  Area,Hegde Nagar,2026.0,3.0,2.0,132.0,3
2675,Super built-up  Area,Hegde Nagar,1801.0,3.0,2.0,115.0,3
2676,Super built-up  Area,Hegde Nagar,1341.0,2.0,1.0,97.0,2
2677,Super built-up  Area,Hegde Nagar,2112.95,4.0,2.0,145.0,3
2678,Super built-up  Area,Hegde Nagar,1703.0,3.0,2.0,113.0,3
2679,Super built-up  Area,Hegde Nagar,1570.0,3.0,1.0,105.0,3
2680,Super built-up  Area,Hegde Nagar,1801.0,3.0,2.0,140.0,3
2681,Super built-up  Area,Hegde Nagar,1584.01,3.0,1.0,103.0,3
2682,Super built-up  Area,Hegde Nagar,1965.0,4.0,2.0,125.0,3
2683,Super built-up  Area,Hegde Nagar,1847.0,3.0,2.0,135.0,3
2684,Super built-up  Area,Hegde Nagar,1965.0,4.0,2.0,132.0,3
2685,Super built-up  Area,Hegde Nagar,1703.0,3.0,2.0,125.0,3
2686,Super built-up  Area,Hegde Nagar,1847.0,3.0,2.0,125.0,3
2687,Super built-up  Area,Hegde Nagar,2144.6,4.0,2.0,145.0,3
2688,Super built-up  Area,Hegde Nagar,1718.0,3.0,2.0,119.0,3
2689,Super built-up  Area,Hegde Nagar,1847.0,3.0,2.0,123.0,3
2690,Super built-up  Area,Hegde Nagar,1340.0,2.0,2.0,72.0,2
2691,Super built-up  Area,Hegde Nagar,2087.01,3.0,2.0,115.0,3
2692,Super built-up  Area,Hegde Nagar,1703.0,3.0,2.0,130.0,3
2693,Super built-up  Area,Hegde Nagar,2087.01,4.0,2.0,135.0,3
2694,Super built-up  Area,Hegde Nagar,1718.0,3.0,2.0,130.0,3
2695,Super built-up  Area,Hegde Nagar,1884.0,4.0,2.0,118.0,3
2696,Super built-up  Area,Hegde Nagar,1930.0,4.0,2.0,122.0,3
2697,Super built-up  Area,Hegde Nagar,1584.01,3.0,1.0,104.0,3
2698,Super built-up  Area,Hegde Nagar,1168.0,2.0,1.0,68.0,3
2699,Super built-up  Area,Hegde Nagar,2162.03,4.0,2.0,129.0,3
2700,Super built-up  Area,Hegde Nagar,2087.01,4.0,2.0,160.0,3
2701,Built-up  Area,Hennur,2264.0,2.0,2.0,155.0,3
2702,Built-up  Area,Hennur,1100.0,2.0,1.0,60.0,2
2703,Built-up  Area,Hennur,2500.0,5.0,2.0,125.0,5
2704,Built-up  Area,Hennur,2502.0,4.0,2.0,170.0,4
2705,Built-up  Area,Hennur,2557.0,2.0,2.0,170.0,4
2706,Super built-up  Area,Hennur,1075.0,2.0,1.0,52.0,2
2707,Super built-up  Area,Hennur,1255.0,2.0,1.0,52.32,2
2708,Super built-up  Area,Hennur,1225.0,2.0,1.0,57.0,2
2709,Super built-up  Area,Hennur,1255.0,2.0,1.0,57.5,2
2710,Super built-up  Area,Hennur,1259.0,2.0,2.0,57.0,2
2711,Super built-up  Area,Hennur,1255.0,2.0,2.0,53.5,2
2712,Super built-up  Area,Hennur,1285.0,2.0,1.0,60.0,2
2713,Super built-up  Area,Hennur,1285.0,2.0,1.0,60.0,2
2714,Super built-up  Area,Hennur,1255.0,2.0,1.0,58.0,2
2715,Super built-up  Area,Hennur,1040.0,2.0,2.0,42.12,2
2716,Super built-up  Area,Hennur,1255.0,2.0,1.0,54.5,2
2717,Super built-up  Area,Hennur,1340.0,3.0,2.0,54.24,3
2718,Super built-up  Area,Hennur,1255.0,2.0,1.0,55.5,2
2719,Super built-up  Area,Hennur,1231.0,2.0,2.0,50.0,2
2720,Super built-up  Area,Hennur,1160.0,2.0,1.0,49.0,2
2721,Super built-up  Area,Hennur,1255.0,2.0,2.0,53.5,2
2722,Super built-up  Area,Hennur,1255.0,2.0,2.0,55.5,2
2723,Super built-up  Area,Hennur,1100.0,2.0,1.0,44.55,2
2724,Super built-up  Area,Hennur,1255.0,2.0,1.0,57.5,2
2725,Super built-up  Area,Hennur,960.0,2.0,1.0,48.0,2
2726,Super built-up  Area,Hennur,1020.0,2.0,1.0,48.0,2
2727,Super built-up  Area,Hennur,1255.0,2.0,1.0,52.32,2
2728,Super built-up  Area,Hennur,1295.0,2.0,1.0,64.0,2
2729,Super built-up  Area,Hennur,1935.0,3.0,2.0,102.0,3
2730,Super built-up  Area,Hennur,1655.0,2.0,1.0,70.5,3
2731,Super built-up  Area,Hennur,1345.0,2.0,1.0,69.0,3
2732,Super built-up  Area,Hennur,1255.0,2.0,1.0,58.0,2
2733,Super built-up  Area,Hennur,1155.0,2.0,2.0,54.5,2
2734,Super built-up  Area,Hennur,1255.0,2.0,1.0,52.32,2
2735,Super built-up  Area,Hennur,1255.0,2.0,2.0,52.35,2
2736,Super built-up  Area,Hennur,3517.0,2.0,2.0,161.5,4
2737,Super built-up  Area,Hennur,1340.0,2.0,2.0,54.27,3
2738,Super built-up  Area,Hennur,1255.0,2.0,2.0,54.5,2
2739,Super built-up  Area,Hennur,1830.5,3.0,0.0,84.205,3
2740,Super built-up  Area,Hennur,1255.0,2.0,1.0,55.5,2
2741,Super built-up  Area,Hennur,1255.0,2.0,1.0,53.57,2
2742,Super built-up  Area,Hennur,1255.0,2.0,2.0,56.5,2
2743,Super built-up  Area,Hennur,1295.0,2.0,1.0,62.0,2
2744,Built-up  Area,Hennur Road,3203.5,2.0,2.0,224.5,4
2745,Built-up  Area,Hennur Road,5000.0,8.0,2.0,250.0,8
2746,Built-up  Area,Hennur Road,2264.0,3.0,1.0,159.0,3
2747,Built-up  Area,Hennur Road,1157.0,2.0,1.0,84.0,2
2748,Built-up  Area,Hennur Road,2160.0,3.0,2.0,160.0,3
2749,Built-up  Area,Hennur Road,1445.0,2.0,1.0,105.0,3
2750,Built-up  Area,Hennur Road,1831.0,3.0,1.0,110.0,3
2751,Built-up  Area,Hennur Road,1015.0,2.0,2.0,50.0,2
2752,Built-up  Area,Hennur Road,1066.0,2.0,1.0,52.23,2
2753,Built-up  Area,Hennur Road,1255.0,2.0,1.0,84.0,2
2754,Built-up  Area,Hennur Road,1100.0,2.0,1.0,78.0,3
2755,Built-up  Area,Hennur Road,1460.0,2.0,1.0,80.3,2
2756,Built-up  Area,Hennur Road,1450.0,2.0,2.0,80.0,2
2757,Plot  Area,Hennur Road,276.0,3.0,3.0,23.0,2
2758,Plot  Area,Hennur Road,2651.0,2.0,2.0,225.0,3
2759,Plot  Area,Hennur Road,2400.0,5.0,3.0,390.0,4
2760,Plot  Area,Hennur Road,1500.0,5.0,1.0,175.0,5
2761,Plot  Area,Hennur Road,5100.0,6.0,3.0,375.0,5
2762,Super built-up  Area,Hennur Road,2089.0,3.0,2.0,140.0,3
2763,Super built-up  Area,Hennur Road,1385.0,2.0,1.0,83.09,2
2764,Super built-up  Area,Hennur Road,1317.5,2.0,0.0,63.77,2
2765,Super built-up  Area,Hennur Road,1904.0,3.0,2.0,120.0,3
2766,Super built-up  Area,Hennur Road,1891.0,3.0,1.0,109.0,3
2767,Super built-up  Area,Hennur Road,1561.0,3.0,2.0,95.0,3
2768,Super built-up  Area,Hennur Road,1192.0,2.0,1.0,60.0,3
2769,Super built-up  Area,Hennur Road,1482.0,2.0,1.0,92.0,3
2770,Super built-up  Area,Hennur Road,1482.0,2.0,2.0,83.73,3
2771,Super built-up  Area,Hennur Road,1482.0,2.0,1.0,87.0,3
2772,Super built-up  Area,Hennur Road,1703.0,3.0,2.0,101.0,3
2773,Super built-up  Area,Hennur Road,1232.0,2.0,0.0,69.61,2
2774,Super built-up  Area,Hennur Road,987.0,2.0,1.0,49.0,2
2775,Super built-up  Area,Hennur Road,1804.0,3.0,2.0,102.0,3
2776,Super built-up  Area,Hennur Road,1186.0,2.0,1.0,63.0,3
2777,Super built-up  Area,Hennur Road,1680.0,3.0,2.0,99.27,3
2778,Super built-up  Area,Hennur Road,1385.0,2.0,1.0,83.09,2
2779,Super built-up  Area,Hennur Road,1186.0,2.0,1.0,56.0,3
2780,Super built-up  Area,Hennur Road,1586.0,3.0,3.0,93.94,3
2781,Super built-up  Area,Hennur Road,1975.0,3.0,3.0,123.0,3
2782,Super built-up  Area,Hennur Road,1664.0,2.0,2.0,93.865,3
2783,Super built-up  Area,Hennur Road,901.0,2.0,1.0,49.5,2
2784,Super built-up  Area,Hennur Road,1445.0,3.0,1.0,86.56,3
2785,Super built-up  Area,Hennur Road,1482.0,2.0,3.0,97.0,3
2786,Super built-up  Area,Hennur Road,1192.0,2.0,1.0,62.0,3
2787,Super built-up  Area,Hennur Road,1036.0,2.0,1.0,59.46,2
2788,Super built-up  Area,Hennur Road,1891.0,3.0,1.0,109.0,3
2789,Super built-up  Area,Hennur Road,1232.0,2.0,1.0,69.61,2
2790,Super built-up  Area,Hennur Road,1804.0,3.0,2.0,102.0,3
2791,Super built-up  Area,Hennur Road,1936.0,3.0,1.0,118.0,3
2792,Super built-up  Area,Hennur Road,1590.0,3.0,2.0,96.5,3
2793,Super built-up  Area,Hennur Road,1036.0,2.0,1.0,59.45,2
2794,Super built-up  Area,Hennur Road,1832.0,3.0,1.0,125.0,3
2795,Super built-up  Area,Hennur Road,1341.0,2.0,1.0,75.76,2
2796,Super built-up  Area,Hennur Road,1040.0,2.0,2.0,50.0,2
2797,Super built-up  Area,Hennur Road,1685.0,3.0,2.0,95.0,3
2798,Super built-up  Area,Hennur Road,1414.0,2.0,2.0,84.18,2
2799,Super built-up  Area,Hennur Road,1949.0,3.0,1.0,133.0,3
2800,Super built-up  Area,Hennur Road,1250.0,2.0,1.0,77.88,3
2801,Super built-up  Area,Hennur Road,1232.0,2.0,1.0,74.0,2
2802,Super built-up  Area,Hennur Road,1232.0,2.0,1.0,66.0,2
2803,Super built-up  Area,Hennur Road,1310.0,2.0,1.0,66.0,2
2804,Super built-up  Area,Hennur Road,1552.0,3.0,3.0,75.0,3
2805,Super built-up  Area,Hennur Road,1186.0,2.0,2.0,55.33,3
2806,Super built-up  Area,Hennur Road,2002.0,3.0,2.0,120.0,3
2807,Super built-up  Area,Hennur Road,1232.0,2.0,1.0,69.6,2
2808,Super built-up  Area,Hennur Road,1195.0,2.0,2.0,73.0,2
2809,Super built-up  Area,Hennur Road,1020.0,2.0,3.0,47.0,2
2810,Super built-up  Area,Hennur Road,1061.0,2.0,1.0,54.92,2
2811,Super built-up  Area,Hennur Road,1585.0,2.0,3.0,80.0,3
2812,Super built-up  Area,Hennur Road,2041.0,3.0,3.0,128.0,3
2813,Super built-up  Area,Hennur Road,973.0,2.0,1.0,56.0,2
2814,Super built-up  Area,Hennur Road,1232.0,2.0,1.0,83.0,2
2815,Super built-up  Area,Hennur Road,1832.0,3.0,1.0,116.0,3
2816,Super built-up  Area,Hennur Road,2050.0,3.0,2.0,120.0,3
2817,Super built-up  Area,Hennur Road,1445.0,2.0,2.0,86.69,3
2818,Super built-up  Area,Hennur Road,1445.0,2.0,1.0,83.0,3
2819,Super built-up  Area,Hennur Road,1679.0,3.0,2.0,94.86,3
2820,Super built-up  Area,Hennur Road,1482.0,2.0,1.0,68.9,3
2821,Super built-up  Area,Hennur Road,1654.0,3.0,2.0,97.8,3
2822,Super built-up  Area,Hennur Road,1480.0,3.0,2.0,100.0,3
2823,Super built-up  Area,Hennur Road,1450.0,3.0,1.0,88.6,3
2824,Super built-up  Area,Hennur Road,1155.0,2.0,1.0,69.18,2
2825,Super built-up  Area,Hennur Road,1053.0,2.0,1.0,53.0,2
2826,Super built-up  Area,Hennur Road,1195.0,2.0,2.0,59.0,2
2827,Super built-up  Area,Hennur Road,1904.0,3.0,2.0,129.0,3
2828,Super built-up  Area,Hennur Road,1981.0,3.0,1.0,134.0,3
2829,Super built-up  Area,Hennur Road,1155.0,2.0,1.0,69.18,2
2830,Super built-up  Area,Hennur Road,1590.0,3.0,2.0,105.0,3
2831,Super built-up  Area,Hennur Road,2041.0,3.0,3.0,138.0,3
2832,Super built-up  Area,Hennur Road,1232.0,2.0,1.0,69.61,2
2833,Super built-up  Area,Hennur Road,1748.0,3.0,2.0,103.0,3
2834,Super built-up  Area,Hennur Road,1570.0,3.0,0.0,75.99,3
2835,Super built-up  Area,Hennur Road,1232.0,2.0,1.0,69.61,2
2836,Super built-up  Area,Hennur Road,1450.0,3.0,2.0,79.0,3
2837,Super built-up  Area,Hennur Road,1445.0,2.0,1.0,89.56,3
2838,Super built-up  Area,Hennur Road,973.0,2.0,1.0,50.74,2
2839,Super built-up  Area,Hennur Road,1482.0,2.0,1.0,83.73,3
2840,Super built-up  Area,Hennur Road,1305.0,2.0,1.0,77.0,3
2841,Super built-up  Area,Hennur Road,1672.0,3.0,2.0,86.0,3
2842,Super built-up  Area,Hennur Road,1165.0,2.0,1.0,67.0,2
2843,Super built-up  Area,Hennur Road,980.0,2.0,1.0,51.0,2
2844,Super built-up  Area,Hennur Road,1232.0,2.0,1.0,80.0,2
2845,Super built-up  Area,Hennur Road,950.0,2.0,1.0,55.0,2
2846,Super built-up  Area,Hennur Road,1140.0,2.0,2.0,56.0,2
2847,Super built-up  Area,Hennur Road,1891.0,3.0,1.0,110.0,3
2848,Super built-up  Area,Hennur Road,1470.0,2.0,1.0,75.0,3
2849,Super built-up  Area,Hennur Road,1155.0,2.0,1.0,69.18,2
2850,Super built-up  Area,Hennur Road,1936.0,3.0,1.0,131.0,3
2851,Built-up  Area,Hoodi,1425.0,2.0,2.0,80.0,2
2852,Built-up  Area,Hoodi,1445.0,3.0,2.0,65.0,3
2853,Built-up  Area,Hoodi,2863.0,4.0,1.0,140.0,4
2854,Built-up  Area,Hoodi,1500.0,2.0,1.0,84.0,2
2855,Built-up  Area,Hoodi,1240.0,2.0,3.0,65.0,2
2856,Built-up  Area,Hoodi,1370.0,3.0,2.0,67.0,3
2857,Built-up  Area,Hoodi,1000.0,2.0,2.0,48.0,2
2858,Built-up  Area,Hoodi,1350.0,3.0,2.0,70.0,3
2859,Built-up  Area,Hoodi,1400.0,3.0,2.0,74.0,3
2860,Built-up  Area,Hoodi,1490.0,3.0,0.0,85.0,3
2861,Plot  Area,Hoodi,1120.0,8.0,3.0,145.0,8
2862,Plot  Area,Hoodi,1120.0,8.0,2.0,150.0,8
2863,Plot  Area,Hoodi,1100.0,4.0,1.0,120.0,4
2864,Plot  Area,Hoodi,3250.0,5.0,2.0,395.0,5
2865,Super built-up  Area,Hoodi,1715.0,2.0,2.0,95.0,3
2866,Super built-up  Area,Hoodi,2118.0,4.0,2.0,111.0,4
2867,Super built-up  Area,Hoodi,1420.0,2.0,2.0,75.0,2
2868,Super built-up  Area,Hoodi,1639.0,3.0,2.0,110.0,3
2869,Super built-up  Area,Hoodi,1606.0,3.0,3.0,89.55,3
2870,Super built-up  Area,Hoodi,1639.0,3.0,1.0,98.32,3
2871,Super built-up  Area,Hoodi,1512.0,3.0,2.0,75.77,3
2872,Super built-up  Area,Hoodi,1026.0,2.0,1.0,60.87,2
2873,Super built-up  Area,Hoodi,1050.0,2.0,2.0,50.0,2
2874,Super built-up  Area,Hoodi,1400.0,2.0,1.0,78.0,2
2875,Super built-up  Area,Hoodi,1196.0,2.0,0.0,71.74,2
2876,Super built-up  Area,Hoodi,1553.0,3.0,2.0,83.09,3
2877,Super built-up  Area,Hoodi,1055.0,2.0,1.0,57.63,2
2878,Super built-up  Area,Hoodi,1925.0,2.0,3.0,114.0,3
2879,Super built-up  Area,Hoodi,1400.0,2.0,1.0,82.0,2
2880,Super built-up  Area,Hoodi,1746.0,3.0,3.0,84.95,3
2881,Super built-up  Area,Hoodi,706.0,1.0,1.0,48.24,1
2882,Super built-up  Area,Hoodi,1257.0,2.0,1.0,69.0,2
2883,Super built-up  Area,Hoodi,1132.0,2.0,0.0,67.9,2
2884,Super built-up  Area,Hoodi,1925.0,3.0,3.0,110.0,3
2885,Super built-up  Area,Hoodi,1769.0,3.0,3.0,96.87,3
2886,Super built-up  Area,Hoodi,1257.0,2.0,1.0,71.03,2
2887,Super built-up  Area,Hoodi,1305.0,2.0,1.0,75.0,2
2888,Super built-up  Area,Hoodi,1490.0,3.0,2.0,79.0,3
2889,Super built-up  Area,Hoodi,1108.0,2.0,1.0,74.23,2
2890,Super built-up  Area,Hoodi,1257.0,2.0,1.0,68.5,2
2891,Super built-up  Area,Hoodi,1063.0,2.0,1.0,61.17,2
2892,Super built-up  Area,Hoodi,1259.0,2.0,2.0,69.45,2
2893,Super built-up  Area,Hoodi,711.0,1.0,0.0,42.65,1
2894,Super built-up  Area,Hoodi,1559.0,3.0,1.0,81.55,3
2895,Super built-up  Area,Hoodi,863.0,1.0,0.0,40.55,1
2896,Super built-up  Area,Hoodi,1715.0,2.0,2.0,100.0,3
2897,Super built-up  Area,Hoodi,1447.0,3.0,2.0,76.0,2
2898,Super built-up  Area,Hoodi,2144.0,3.0,2.0,140.0,3
2899,Super built-up  Area,Hoodi,1108.0,2.0,0.0,66.46,2
2900,Super built-up  Area,Hoodi,1837.0,3.0,1.0,110.0,3
2901,Super built-up  Area,Hoodi,1644.0,3.0,3.0,80.51,3
2902,Super built-up  Area,Hoodi,1258.5,2.0,0.0,59.135,2
2903,Built-up  Area,Horamavu Agara,755.0,2.0,1.0,37.49,2
2904,Built-up  Area,Horamavu Agara,982.0,2.0,1.0,47.65,2
2905,Built-up  Area,Horamavu Agara,1106.0,2.0,1.0,43.09,2
2906,Built-up  Area,Horamavu Agara,980.0,2.0,1.0,38.19,2
2907,Built-up  Area,Horamavu Agara,760.0,2.0,2.0,37.49,2
2908,Built-up  Area,Horamavu Agara,1400.0,3.0,3.0,63.0,3
2909,Plot  Area,Horamavu Agara,1200.0,2.0,0.0,95.0,4
2910,Plot  Area,Horamavu Agara,1250.0,4.0,1.0,100.0,4
2911,Super built-up  Area,Horamavu Agara,1200.0,2.0,1.0,45.0,2
